,Sentences
8432,"If we sat and looked at it for several more minutes, it would not separate again but would stay mixed."
8433,So we have an irreversibility which is based on reversible situations.
8434,But we also see the reason now.
8435,"We started with an arrangement which is, in some sense, ordered."
8436,"Due to the chaos of the collisions, it becomes disordered."
8437,It is the change from an ordered arrangement to a disordered arrangement which is the source of the irreversibility.
8438,"It is true that if we took a motion picture of this, and showed it backwards, we would see it gradually become ordered."
8439,"Someone would say, “That is against the laws of physics!” So we would run the film over again, and we would look at every collision."
8440,"Every one would be perfect, and every one would be obeying the laws of physics."
8441,"The reason, of course, is that every molecule’s velocities are just right, so if the paths are all followed back, they get back to their original condition."
8442,But that is a very unlikely circumstance to have.
8443,"If we start with the gas in no special arrangement, just whites and blacks, it will never get back."
8444,So we now have to talk about what we mean by disorder and what we mean by order.
8445,It is not a question of pleasant order or unpleasant disorder.
8446,What is different in our mixed and unmixed cases is the following.
8447,Suppose we divide the space into little volume elements.
8448,"If we have white and black molecules, how many ways could we distribute them among the volume elements so that white is on one side, and black on the other?"
8449,"On the other hand, how many ways could we distribute them with no restriction on which goes where?"
8450,"Clearly, there are many more ways to arrange them in the latter case."
8451,"We measure “disorder” by the number of ways that the insides can be arranged, so that from the outside it looks the same."
8452,The logarithm of that number of ways is the entropy.
8453,"The number of ways in the separated case is less, so the entropy is less, or the “disorder” is less."
8454,So with the above technical definition of disorder we can understand the proposition.
8455,"First, the entropy measures the disorder."
8456,"Second, the universe always goes from “order” to “disorder,” so entropy always increases."
8457,"Order is not order in the sense that we like the arrangement, but in the sense that the number of different ways we can hook it up, and still have it look the same from the outside, is relatively restricted."
8458,"In the case where we reversed our motion picture of the gas mixing, there was not as much disorder as we thought."
8459,Every single atom had exactly the correct speed and direction to come out right!
8460,"The entropy was not high after all, even though it appeared so."
8461,What about the reversibility of the other physical laws?
8462,"When we talked about the electric field which comes from an accelerating charge, it was said that we must take the retarded field."
8463,"So it looks, at first, as if the law of electricity is not reversible."
8464,"Very strangely, however, the laws we used come from a set of equations called Maxwell’s equations, which are, in fact, reversible."
8465,"This apparent irreversibility in electricity, at least in an enclosure, is thus not an irreversibility at all."
8466,"We have some feeling for that already, because we know that when we have an oscillating charge which generates fields which are bounced from the walls of an enclosure we ultimately get to an equilibrium in which there is no one-sidedness."
8467,The retarded field approach is only a convenience in the method of solution.
8468,"So far as we know, all the fundamental laws of physics, like Newton’s equations, are reversible."
8469,Then where does irreversibility come from?
8470,"It comes from order going to disorder, but we do not understand this until we know the origin of the order."
8471,Why is it that the situations we find ourselves in every day are always out of equilibrium?
8472,One possible explanation is the following.
8473,Look again at our box of mixed white and black molecules.
8474,"Now it is possible, if we wait long enough, by sheer, grossly improbable, but possible, accident, that the distribution of molecules gets to be mostly white on one side and mostly black on the other."
8475,"After that, as times goes on and accidents continue, they get more mixed up again."
8476,Thus one possible explanation of the high degree of order in the present-day world is that it is just a question of luck.
8477,"Perhaps our universe happened to have had a fluctuation of some kind in the past, in which things got somewhat separated, and now they are running back together again."
8478,"This kind of theory is not unsymmetrical, because we can ask what the separated gas looks like either a little in the future or a little in the past."
8479,"In either case, we see a grey smear at the interface, because the molecules are mixing again."
8480,"No matter which way we run time, the gas mixes."
8481,So this theory would say the irreversibility is just one of the accidents of life.
8482,We would like to argue that this is not the case.
8483,"Suppose we do not look at the whole box at once, but only at a piece of the box."
8484,"Then, at a certain moment, suppose we discover a certain amount of order."
8485,"In this little piece, white and black are separate."
8486,What should we deduce about the condition in places where we have not yet looked?
8487,"If we really believe that the order arose from complete disorder by a fluctuation, we must surely take the most likely fluctuation which could produce it, and the most likely condition is not that the rest of it has also become disentangled!"
8488,"Therefore, from the hypothesis that the world is a fluctuation, all of the predictions are that if we look at a part of the world we have never seen before, we will find it mixed up, and not like the piece we just looked at."
8489,"If our order were due to a fluctuation, we would not expect order anywhere but where we have just noticed it."
8490,Now we assume the separation is because the past of the universe was really ordered.
8491,"It is not due to a fluctuation, but the whole thing used to be white and black."
8492,"This theory now predicts that there will be order in other places—the order is not due to a fluctuation, but due to a much higher ordering at the beginning of time."
8493,Then we would expect to find order in places where we have not yet looked.
8494,"The astronomers, for example, have only looked at some of the stars."
8495,"Every day they turn their telescopes to other stars, and the new stars are doing the same thing as the other stars."
8496,"We therefore conclude that the universe is not a fluctuation, and that the order is a memory of conditions when things started."
8497,This is not to say that we understand the logic of it.
8498,"For some reason, the universe at one time had a very low entropy for its energy content, and since then the entropy has increased."
8499,So that is the way toward the future.
8500,"That is the origin of all irreversibility, that is what makes the processes of growth and decay, that makes us remember the past and not the future, remember the things which are closer to that moment in the history of the universe when the order was higher than now, and why we are not able to remember things where the disorder is higher than now, which we call the future."
8501,"So, as we commented in an earlier chapter, the entire universe is in a glass of wine, if we look at it closely enough."
8502,"In this case the glass of wine is complex, because there is water and glass and light and everything else."
8503,"Another delight of our subject of physics is that even simple and idealized things, like the ratchet and pawl, work only because they are part of the universe."
8504,The ratchet and pawl works in only one direction because it has some ultimate contact with the rest of the universe.
8505,"If the ratchet and pawl were in a box and isolated for some sufficient time, the wheel would be no more likely to go one way than the other."
8506,"But because we pull up the shades and let the light out, because we cool off on the earth and get heat from the sun, the ratchets and pawls that we make can turn one way."
8507,This one-wayness is interrelated with the fact that the ratchet is part of the universe.
8508,"It is part of the universe not only in the sense that it obeys the physical laws of the universe, but its one-way behavior is tied to the one-way behavior of the entire universe."
8509,It cannot be completely understood until the mystery of the beginnings of the history of the universe are reduced still further from speculation to scientific understanding.
8510,In this chapter we shall discuss the phenomenon of waves.
8511,"This is a phenomenon which appears in many contexts throughout physics, and therefore our attention should be concentrated on it not only because of the particular example considered here, which is sound, but also because of the much wider application of the ideas in all branches of physics."
8512,It was pointed out when we studied the harmonic oscillator that there are not only mechanical examples of oscillating systems but electrical ones as well.
8513,"Waves are related to oscillating systems, except that wave oscillations appear not only as time-oscillations at one place, but propagate in space as well."
8514,We have really already studied waves.
8515,"When we studied light, in learning about the properties of waves in that subject, we paid particular attention to the interference in space of waves from several sources at different locations and all at the same frequency."
8516,"There are two important wave phenomena that we have not yet discussed which occur in light, i.e., electromagnetic waves, as well as in any other form of waves."
8517,The first of these is the phenomenon of interference in time rather than interference in space.
8518,"If we have two sources of sound which have slightly different frequencies and if we listen to both at the same time, then sometimes the waves come with the crests together and sometimes with the crest and trough together (see Fig."
8519,47–1).
8520,"The rising and falling of the sound that results is the phenomenon of beats or, in other words, of interference in time."
8521,The second phenomenon involves the wave patterns which result when the waves are confined within a given volume and reflect back and forth from walls.
8522,"These effects could have been discussed, of course, for the case of electromagnetic waves."
8523,The reason for not having done this is that by using one example we would not generate the feeling that we are actually learning about many different subjects at the same time.
8524,"In order to emphasize the general applicability of waves beyond electrodynamics, we consider here a different example, in particular sound waves."
8525,"Other examples of waves are water waves consisting of long swells that we see coming in to the shore, or the smaller water waves consisting of surface tension ripples."
8526,"As another example, there are two kinds of elastic waves in solids; a compressional (or longitudinal) wave in which the particles of the solid oscillate back and forth along the direction of propagation of the wave (sound waves in a gas are of this kind), and a transverse wave in which the particles of the solid oscillate in a direction perpendicular to the direction of propagation."
8527,"Earthquake waves contain elastic waves of both kinds, generated by a motion at some place in the earth’s crust."
8528,Still another example of waves is found in modern physics.
8529,These are waves which give the probability amplitude of finding a particle at a given place—the “matter waves” which we have already discussed.
8530,Their frequency is proportional to the energy and their wave number is proportional to the momentum.
8531,They are the waves of quantum mechanics.
8532,In this chapter we shall consider only waves for which the velocity is independent of the wavelength.
8533,"This is, for example, the case for light in a vacuum."
8534,"The speed of light is then the same for radiowaves, blue light, green light, or for any other wavelength."
8535,"Because of this behavior, when we began to describe the wave phenomenon we did not notice at first that we had wave propagation."
8536,"Therefore if we were to picture the electric field in space at some instant of time, as in Fig."
8537,"There is, of course, another possibility, i.e., that instead of a source to the left as indicated in Fig."
8538,"There is the additional possibility that more than one wave exists in space at the same time, and so the electric field is the sum of the two fields, each one propagating independently."
8539,This is called the principle of superposition.
8540,The same principle is valid in sound.
8541,"We are familiar with the fact that if a sound is produced, we hear with complete fidelity the same sequence of sounds as was generated."
8542,"If we had high frequencies travelling faster than low frequencies, a short, sharp noise would be heard as a succession of musical sounds."
8543,"Similarly, if red light travelled faster than blue light, a flash of white light would be seen first as red, then as white, and finally as blue."
8544,We are familiar with the fact that this is not the case.
8545,Both sound and light travel with a speed in air which is very nearly independent of frequency.
8546,Examples of wave propagation for which this independence is not true will be considered in Chapter 48.
8547,In the case of light (electromagnetic waves) we gave a rule which determined the electric field at a point as a result of the acceleration of a charge.
8548,"One might expect now that what we should do is give a rule whereby some quality of the air, say the pressure, is determined at a given distance from a source in terms of the source motion, delayed by the travel time of the sound."
8549,In the case of light this procedure was acceptable because all that we knew was that a charge at one place exerts a force on another charge at another place.
8550,The details of propagation from the one place to the other were not absolutely essential.
8551,"In the case of sound, however, we know that it propagates through the air between the source and the hearer, and it is certainly a natural question to ask what, at any given moment, the pressure of the air is."
8552,"We would like, in addition, to know exactly how the air moves."
8553,"In the case of electricity we could accept a rule, since we could say that we do not yet know the laws of electricity, but we cannot make the same remark with regard to sound."
8554,"We would not be satisfied with a rule stating how the sound pressure moves through the air, because the process ought to be understandable as a consequence of the laws of mechanics."
8555,"In short, sound is a branch of mechanics, and so it is to be understood in terms of Newton’s laws."
8556,"The propagation of sound from one place to another is merely a consequence of mechanics and the properties of gases, if it propagates in a gas, or of the properties of liquids or solids, if it propagates through such mediums."
8557,Later we shall derive the properties of light and its wave propagation in a similar way from the laws of electrodynamics.
8558,"We shall give a derivation of the properties of the propagation of sound between the source and the receiver as a consequence of Newton’s laws, and we shall not consider the interaction with the source and the receiver."
8559,Ordinarily we emphasize a result rather than a particular derivation of it.
8560,In this chapter we take the opposite view.
8561,"The point here, in a certain sense, is the derivation itself."
8562,"This problem of explaining new phenomena in terms of old ones, when we know the laws of the old ones, is perhaps the greatest art of mathematical physics."
8563,"The mathematical physicist has two problems: one is to find solutions, given the equations, and the other is to find the equations which describe a new phenomenon."
8564,The derivation here is an example of the second kind of problem.
8565,We shall take the simplest example here—the propagation of sound in one dimension.
8566,To carry out such a derivation it is necessary first to have some kind of understanding of what is going on.
8567,"Fundamentally what is involved is that if an object is moved at one place in the air, we observe that there is a disturbance which travels through the air."
8568,"If we ask what kind of disturbance, we would say that we would expect that the motion of the object produces a change of pressure."
8569,"Of course, if the object is moved gently, the air merely flows around it, but what we are concerned with is a rapid motion, so that there is not sufficient time for such a flow."
8570,"Then, with the motion, the air is compressed and a change of pressure is produced which pushes on additional air."
8571,"This air is in turn compressed, which leads again to an extra pressure, and a wave is propagated."
8572,We now want to formulate such a process.
8573,We have to decide what variables we need.
8574,"In our particular problem we would need to know how much the air has moved, so that the air displacement in the sound wave is certainly one relevant variable."
8575,In addition we would like to describe how the air density changes as it is displaced.
8576,"The air pressure also changes, so this is another variable of interest."
8577,"Then, of course, the air has a velocity, so that we shall have to describe the velocity of the air particles."
8578,The air particles also have accelerations—but as we list these many variables we soon realize that the velocity and acceleration would be known if we knew how the air displacement varies with time.
8579,"As we said, we shall consider the wave in one dimension."
8580,We can do this if we are sufficiently far from the source that what we call the wavefronts are very nearly planes.
8581,We thus make our argument simpler by taking the least complicated example.
8582,Is this description complete?
8583,"It would appear to be far from complete, for we know none of the details of how the air molecules are moving."
8584,"From the point of view of kinetic theory, if we have a higher density of molecules at one place and a lower density adjacent to that place, the molecules would move away from the region of higher density to the one of lower density, so as to equalize this difference."
8585,Apparently we would not get an oscillation and there would be no sound.
8586,"What is necessary to get the sound wave is this situation: as the molecules rush out of the region of higher density and higher pressure, they give momentum to the molecules in the adjacent region of lower density."
8587,"For sound to be generated, the regions over which the density and pressure change must be much larger than the distance the molecules travel before colliding with other molecules."
8588,This distance is the mean free path and the distance between pressure crests and troughs must be much larger than this.
8589,Otherwise the molecules would move freely from the crest to the trough and immediately smear out the wave.
8590,"It is clear that we are going to describe the gas behavior on a scale large compared with the mean free path, and so the properties of the gas will not be described in terms of the individual molecules."
8591,"The displacement, for example, will be the displacement of the center of mass of a small element of the gas, and the pressure or density will be the pressure or density in this region."
8592,We must keep in mind that this description is an approximation which is valid only when these gas properties do not vary too rapidly with distance.
8593,The physics of the phenomenon of sound waves thus involves three features:
8594,Let us consider II first.
8595,"For a gas, a liquid, or a solid, the pressure is some function of the density."
8596,The changes of pressure in sound from the equilibrium value are extremely small.
8597,In sound we use a logarithmic scale of intensities since the sensitivity of the ear is roughly logarithmic.
8598,The displacements and the density changes are correspondingly extremely small.
8599,These large pressure changes lead to new effects which we shall consider later.
8600,Let us now consider I.
8601,47–3.
8602,We can now find the density changes in the following way.
8603,"We now need the third equation, which is the equation of the motion produced by the pressure."
8604,"If we know the relation between the force and the pressure, we can then get the equation of motion."
8605,We now can see whether this equation really does describe the essential properties of sound waves in matter.
8606,"We want to deduce that a sound pulse, or disturbance, will move with a constant speed."
8607,We want to verify that two different pulses can move through each other—the principle of superposition.
8608,We also want to verify that sound can go either to the right or to the left.
8609,All these properties should be contained in this one equation.
8610,An extremely interesting question is that of superposition.
8611,This wave equation is one of the consequences of Maxwell’s equations.
8612,The equations of electrodynamics will lead to the wave equation for light just as the equations of mechanics lead to the wave equation for sound.
8613,"In a sound wave, we would expect that in the region of compression the temperature would be raised, and that in the region of rarefaction the temperature would be lowered."
8614,"Newton was the first to calculate the rate of change of pressure with density, and he supposed that the temperature remained unchanged."
8615,He argued that the heat was conducted from one region to the other so rapidly that the temperature could not rise or fall.
8616,"This argument gives the isothermal speed of sound, and it is wrong."
8617,"The correct deduction was given later by Laplace, who put forward the opposite idea—that the pressure and temperature change adiabatically in a sound wave."
8618,The heat flow from the compressed region to the rarefied region is negligible so long as the wavelength is long compared with the mean free path.
8619,"Under this condition the slight amount of heat flow in a sound wave does not affect the speed, although it gives a small absorption of the sound energy."
8620,"We can expect correctly that this absorption increases as the wavelength approaches the mean free path, but these wavelengths are smaller by factors of about a million than the wavelengths of audible sound."
8621,The actual variation of pressure with density in a sound wave is the one that allows no heat flow.
8622,"In other words, the speed of sound is of the same order of magnitude as the speed of the molecules, and is actually somewhat less than this average speed."
8623,"Of course we could expect such a result, because a disturbance like a change in pressure is, after all, propagated by the motion of the molecules."
8624,"However, such an argument does not tell us the precise propagation speed; it could have turned out that sound was carried primarily by the fastest molecules, or by the slowest molecules."
8625,"Some time ago we discussed in considerable detail the properties of light waves and their interference—that is, the effects of the superposition of two waves from different sources."
8626,In all these analyses we assumed that the frequencies of the sources were all the same.
8627,In this chapter we shall discuss some of the phenomena which result from the interference of two sources which have different frequencies.
8628,It is easy to guess what is going to happen.
8629,"At that point, if it is light, the light is very strong; if it is sound, it is very loud; or if it is electrons, many of them arrive."
8630,"Of course, we would then find variations in the net signal strength."
8631,"Of course, to say that one source is shifting its phase relative to another at a uniform rate is the same as saying that the number of oscillations per second is slightly different for the two."
8632,"So we know the answer: if we have two sources at slightly different frequencies we should find, as a net result, an oscillation with a slowly pulsating intensity."
8633,That is all there really is to the subject!
8634,It is very easy to formulate this result mathematically also.
8635,"Of course the amplitudes may not be the same, either, but we can solve the general problem later; let us first take the case where the amplitudes are equal."
8636,"If we plot the amplitudes of the waves against the time, as in Fig."
8637,"48–1, we see that where the crests coincide we get a strong wave, and where a trough and crest coincide we get practically zero, and then when the crests coincide again we get a strong wave again."
8638,"Mathematically, we need only to add two cosines and rearrange the result somehow."
8639,There exist a number of useful relations among cosines which are not difficult to derive.
8640,Now we can analyze our problem.
8641,But is this the frequency at which the beats are heard?
8642,48–1).
8643,The technical basis for the difference is that the high frequency-wave has a little different phase relationship in the second half-cycle.
8644,"However, there are other, easier ways of doing the same analysis."
8645,If we are now asked for the intensity of the wave of Eq.
8646,"(48.7), we can either take the absolute square of the left side, or of the right side."
8647,Let us take the left side.
8648,"One more way to represent this idea is by means of a drawing, like Fig."
8649,48–2.
8650,"If the two frequencies are exactly equal, their resultant is of fixed length as it keeps revolving, and we get a definite, fixed intensity from the two."
8651,"But if the frequencies are slightly different, the two complex vectors go around at different speeds."
8652,"As the vectors go around, the amplitude of the sum vector gets bigger and smaller, and the intensity thus pulsates."
8653,"It is a relatively simple idea, and there are many different ways of representing the same thing."
8654,The effect is very easy to observe experimentally.
8655,"In the case of acoustics, we may arrange two loudspeakers driven by two separate oscillators, one for each loudspeaker, so that they each make a tone."
8656,We thus receive one note from one source and a different note from the other source.
8657,"If we make the frequencies exactly the same, the resulting effect will have a definite strength at a given space location."
8658,"If we then de-tune them a little bit, we hear some variations in the intensity."
8659,"The farther they are de-tuned, the more rapid are the variations of sound."
8660,The ear has some trouble following variations more rapid than ten or so per second.
8661,We may also see the effect on an oscilloscope which simply displays the sum of the currents to the two speakers.
8662,"If the frequency of pulsing is relatively low, we simply see a sinusoidal wave train whose amplitude pulsates, but as we make the pulsations more rapid we see the kind of wave shown in Fig."
8663,48–1.
8664,"As we go to greater frequency differences, the “bumps” move closer together."
8665,"Also, if the amplitudes are not equal and we make one signal stronger than the other, then we get a wave whose amplitude does not ever become zero, just as we expect."
8666,"Everything works the way it should, both acoustically and electrically."
8667,The opposite phenomenon occurs too!
8668,"The way the “information” is transmitted, the useless kind of information about what kind of car to buy, is that when somebody talks into a microphone the amplitude of the carrier signal is changed in step with the vibrations of sound entering the microphone."
8669,"If we take as the simplest mathematical case the situation where a soprano is singing a perfect note, with perfect sinusoidal oscillations of her vocal cords, then we get a signal whose strength is alternating as shown in Fig."
8670,48–4.
8671,"The audiofrequency alternation is then recovered in the receiver; we get rid of the carrier wave and just look at the envelope which represents the oscillations of the vocal cords, or the sound of the singer."
8672,"The loudspeaker then makes corresponding vibrations at the same frequency in the air, and the listener is then essentially unable to tell the difference, so they say."
8673,"Because of a number of distortions and other subtle effects, it is, in fact, possible to tell whether we are listening to a radio or to a real soprano; otherwise the idea is as indicated above."
8674,"One is the carrier frequency plus the modulation frequency, and the other is the carrier frequency minus the modulation frequency."
8675,48–5.
8676,"These are called side bands; when there is a modulated signal from the transmitter, there are side bands."
8677,"Therefore, when there is a complicated modulation that can be represented as the sum of many cosines,1 we find that the actual transmitter is transmitting over a range of frequencies, namely the carrier frequency plus or minus the maximum frequency that the modulation signal contains."
8678,"Therefore it is absolutely essential to keep the stations a certain distance apart, so that their side bands do not overlap and, also, the receiver must not be so selective that it does not permit reception of the side bands as well as of the main nominal frequency."
8679,"In the case of sound, this problem does not really cause much trouble."
8680,The television problem is more difficult.
8681,"As the electron beam goes across the face of the picture tube, there are various little spots of light and dark."
8682,"Let us consider that the resolution of the picture vertically and horizontally is more or less the same, so that there are the same number of spots per inch along a scan line."
8683,"“But,” one might say, “we have just proved that there were side bands on both sides, and therefore it should be twice that wide.” It turns out that the radio engineers are rather clever."
8684,"If we analyze the modulation signal using not just cosine terms, but cosine and sine terms, to allow for phase differences, we then see that there is a definite, invariant relationship between the side band on the high-frequency side and the side band on the low-frequency side."
8685,What we mean is that there is no new information on that other side band.
8686,"So what is done is to suppress one side band, and the receiver is wired inside such that the information which is missing is reconstituted by looking at the single side band and the carrier."
8687,Single side-band transmission is a clever scheme for decreasing the band widths needed to transmit information.
8688,The next subject we shall discuss is the interference of waves in both space and time.
8689,Suppose that we have two waves travelling in space.
8690,"This might be, for example, the displacement in a sound wave."
8691,Now we want to add two such waves together.
8692,"Suppose we have a wave that is travelling with one frequency, and another wave travelling with another frequency."
8693,We leave to the reader to consider the case where the amplitudes are different; it makes no real difference.
8694,We can add these by the same kind of mathematics we used when we added signal waves.
8695,"So we get the same kind of modulations, naturally, but we see, of course, that those modulations are moving along with the wave."
8696,"In other words, if we added two waves, but these waves were not just oscillating, but also moving in space, then the resultant wave would move along also, at the same speed."
8697,Example: material having an index of refraction.
8698,"At any rate, for each frequency there is a definite wave number, and we want to add two such waves together."
8699,Let us do it just as we did in Eq.
8700,Now let us take the case that the difference between the two waves is relatively small.
8701,"But look, the speed of propagation of the modulation is not the same!"
8702,Let us see if we can understand why.
8703,"Consider two waves, again of slightly different wavelength, as in Fig."
8704,48–1.
8705,"They are out of phase, in phase, out of phase, and so on."
8706,"Now these waves represent, really, the waves in space travelling with slightly different frequencies also."
8707,"Now because the phase velocity, the velocity of the nodes of these two waves, is not precisely the same, something new happens."
8708,"Suppose we ride along with one of the waves and look at the other one; if they both went at the same speed, then the other wave would stay right where it was relative to us, as we ride along on this crest."
8709,We ride on that crest and right opposite us we see a crest; if the two velocities are equal the crests stay on top of each other.
8710,But it is not so that the two velocities are really equal.
8711,"There is only a small difference in frequency and therefore only a small difference in velocity, but because of that difference in velocity, as we ride along the other wave moves slowly forward, say, or behind, relative to our wave."
8712,"So as time goes on, what happens to the node?"
8713,"If we move one wave train just a shade forward, the node moves forward (or backward) a considerable distance."
8714,"That is, the sum of these two waves has an envelope, and as the waves travel along, the envelope rides on them at a different speed."
8715,The group velocity is the speed at which modulated signals would be transmitted.
8716,"If we made a signal, i.e., some kind of change in the wave that one could recognize when he listened to it, a kind of modulation, then that modulation would travel at the group velocity, provided that the modulations were relatively slow."
8717,"(When they are fast, it is much more difficult to analyze.)"
8718,"Now we may show (at long last), that the speed of propagation of x-rays in a block of carbon is not greater than the speed of light, although the phase velocity is greater than the speed of light."
8719,"So although the phases can travel faster than the speed of light, the modulation signals travel slower, and that is the resolution of the apparent paradox!"
8720,"So when all the phases have the same velocity, naturally the group has the same velocity."
8721,Let us now consider one more example of the phase velocity which is extremely interesting.
8722,It has to do with quantum mechanics.
8723,"Equation (48.19) gives the amplitude, and if we take the absolute square, we get the relative probability for finding the particle as a function of position and time."
8724,"This is a constant, which means that the probability is the same to find a particle anywhere."
8725,"Now suppose, instead, that we have a situation where we know that the particle is more likely to be at one place than at another."
8726,We would represent such a situation by a wave which has a maximum and dies out on either side (Fig.
8727,48–6).
8728,"Now in those circumstances, since the square of (48.19) represents the chance of finding a particle somewhere, we know that at a given instant the particle is most likely to be near the center of the “lump,” where the amplitude of the wave is maximum."
8729,"If now we wait a few moments, the waves will move, and after some time the “lump” will be somewhere else."
8730,"If we knew that the particle originally was situated somewhere, classically, we would expect that it would later be elsewhere as a matter of fact, because it has a speed, after all, and a momentum."
8731,"The quantum theory, then, will go into the correct classical theory for the relationship of momentum, energy, and velocity only if the group velocity, the velocity of the modulation, is equal to the velocity that we would obtain classically for a particle of the same momentum."
8732,"It is now necessary to demonstrate that this is, or is not, the case."
8733,Now let us look at the group velocity.
8734,"We have to differentiate a square root, which is not very difficult."
8735,Of course the group velocity must be the velocity of the particle if the interpretation is going to make any sense.
8736,"If we think the particle is over here at one time, and then ten minutes later we think it is over there, as the quantum mechanics said, the distance traversed by the “lump,” divided by the time interval, must be, classically, the velocity of the particle."
8737,We shall now bring our discussion of waves to a close with a few general remarks about the wave equation.
8738,"These remarks are intended to give some view of the future—not that we can understand everything exactly just now, but rather to see what things are going to look like when we study waves a little more."
8739,We showed that for a sound wave the displacements would propagate themselves at a certain speed.
8740,"But the excess pressure also propagates at a certain speed, and so does the excess density."
8741,"So we should expect that the pressure would satisfy the same equation, as indeed it does."
8742,We shall leave it to the reader to prove that it does.
8743,"So the pressure, the displacements, everything, satisfy the same wave equation."
8744,"Usually one sees the wave equation for sound written in terms of pressure instead of in terms of displacement, because the pressure is a scalar and has no direction."
8745,"But the displacement is a vector and has direction, and it is thus easier to analyze the pressure."
8746,The next matter we discuss has to do with the wave equation in three dimensions.
8747,Now what we want to do is to guess what the correct wave equation in three dimensions is.
8748,"Naturally, for the case of sound this can be deduced by going through the same dynamic argument in three dimensions that we made in one dimension."
8749,"Working backwards again, we cannot resist writing down the grand equation which corresponds to the dispersion equation (48.22) for quantum-mechanical waves."
8750,There is still another great thing contained in the wave equation: the fact that any superposition of waves is also a solution.
8751,"So this equation contains all of the quantum mechanics and the relativity that we have been discussing so far, at least so long as it deals with a single particle in empty space with no external potentials or forces on it!"
8752,Now we turn to another example of the phenomenon of beats which is rather curious and a little different.
8753,"Imagine two equal pendulums which have, between them, a rather weak spring connection."
8754,They are made as nearly as possible the same length.
8755,"If we pull one aside and let go, it moves back and forth, and it pulls on the connecting spring as it moves back and forth, and so it really is a machine for generating a force which has the natural frequency of the other pendulum."
8756,"Therefore, as a consequence of the theory of resonance, which we studied before, when we put a force on something at just the right frequency, it will drive it."
8757,"So, sure enough, one pendulum moving back and forth drives the other."
8758,"However, in this circumstance there is a new thing happening, because the total energy of the system is finite, so when one pendulum pours its energy into the other to drive it, it finds itself gradually losing energy, until, if the timing is just right along with the speed, it loses all its energy and is reduced to a stationary condition!"
8759,"Then, of course, it is the other pendulum ball that has all the energy and the first one which has none, and as time goes on we see that it works also in the opposite direction, and that the energy is passed back into the first ball; this is a very interesting and amusing phenomenon."
8760,"We said, however, that this is related to the theory of beats, and we must now explain how we can analyze this motion from the point of view of the theory of beats."
8761,We note that the motion of either of the two balls is an oscillation which has an amplitude which changes cyclically.
8762,"Therefore the motion of one of the balls is presumably analyzable in a different way, in that it is the sum of two oscillations, present at the same time but having two slightly different frequencies."
8763,"Therefore it ought to be possible to find two other motions in this system, and to claim that what we saw was a superposition of the two solutions, because this is of course a linear system."
8764,"Indeed, it is easy to find two ways that we could start the motion, each one of which is a perfect, single-frequency motion—absolutely periodic."
8765,"The motion that we started with before was not strictly periodic, since it did not last; soon one ball was passing energy to the other and so changing its amplitude; but there are ways of starting the motion so that nothing changes and, of course, as soon as we see it we understand why."
8766,"For example, if we made both pendulums go together, then, since they are of the same length and the spring is not then doing anything, they will of course continue to swing like that for all time, assuming no friction and that everything is perfect."
8767,"On the other hand, there is another possible motion which also has a definite frequency: that is, if we move the pendulums oppositely, pulling them aside exactly equal distances, then again they would be in absolutely periodic motion."
8768,"We can appreciate that the spring just adds a little to the restoring force that the gravity supplies, that is all, and the system just keeps oscillating at a slightly higher frequency than in the first case."
8769,Why higher?
8770,"Because the spring is pulling, in addition to the gravitation, and it makes the system a little “stiffer,” so that the frequency of this motion is just a shade higher than that of the other."
8771,"Thus this system has two ways in which it can oscillate with unchanging amplitude: it can either oscillate in a manner in which both pendulums go the same way and oscillate all the time at one frequency, or they could go in opposite directions at a slightly higher frequency."
8772,"Now the actual motion of the thing, because the system is linear, can be represented as a superposition of the two."
8773,"(The subject of this chapter, remember, is the effects of adding two motions with different frequencies.)"
8774,So think what would happen if we combined these two solutions.
8775,"As time goes on, however, the two basic motions proceed independently, so the phase of one relative to the other is slowly shifting."
8776,"That is, the large-amplitude motion will have fallen to zero, and in the meantime, of course, the initially motionless ball will have attained full strength!"
8777,"So we see that we could analyze this complicated motion either by the idea that there is a resonance and that one passes energy to the other, or else by the superposition of two constant-amplitude motions at two different frequencies."
8778,This chapter will consider some of the remarkable phenomena which are a result of confining waves in some finite region.
8779,"We will be led first to discover a few particular facts about vibrating strings, for example, and then the generalization of these facts will give us a principle which is probably the most far-reaching principle of mathematical physics."
8780,Our first example of confining waves will be to confine a wave at one boundary.
8781,Let us take the simple example of a one-dimensional wave on a string.
8782,"One could equally well consider sound in one dimension against a wall, or other situations of a similar nature, but the example of a string will be sufficient for our present purposes."
8783,"Suppose that the string is held at one end, for example by fastening it to an “infinitely solid” wall."
8784,But we have next to satisfy the condition that the string does not move at one end.
8785,If this result is put back into Eq.
8786,"We say hypothetical because, of course, there is no string to vibrate on that side of the origin."
8787,"These results are equivalent to the following statement: if a wave reaches the clamped end of a string, it will be reflected with a change in sign."
8788,Such a reflection can always be understood by imagining that what is coming to the end of the string comes out upside down from behind the wall.
8789,The next point to be discussed is the reflection of a periodic wave.
8790,"No matter where this point is, the frequency is the same!"
8791,From inspection of Eq.
8792,"Between any two successive nodes, every point moves up and down sinusoidally, but the pattern of motion stays fixed in space."
8793,This is the fundamental characteristic of what we call a mode.
